t=2025-11-26T22:17:12+0300 lvl=info msg="no configuration paths supplied"
t=2025-11-26T22:17:12+0300 lvl=info msg="using configuration at default config path" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-26T22:17:12+0300 lvl=info msg="open config file" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-26T23:04:38+0300 lvl=info msg="join connections" obj=join id=4e2043f43fa6 l=127.0.0.1:3000 r=62.84.96.86:38274
t=2025-11-26T23:04:38+0300 lvl=info msg="join connections" obj=join id=5f08487f8776 l=127.0.0.1:3000 r=62.84.96.86:38274
t=2025-11-26T23:04:39+0300 lvl=info msg="join connections" obj=join id=6a9efda780b4 l=127.0.0.1:3000 r=62.84.96.86:49012
t=2025-11-26T23:08:37+0300 lvl=info msg="join connections" obj=join id=89f2669d7415 l=127.0.0.1:3000 r=62.84.96.86:53696
t=2025-11-26T23:08:38+0300 lvl=info msg="join connections" obj=join id=a1d508822ef0 l=127.0.0.1:3000 r=62.84.96.86:53698
t=2025-11-26T23:08:39+0300 lvl=info msg="join connections" obj=join id=78bdfaac633b l=127.0.0.1:3000 r=62.84.96.86:53698
t=2025-11-26T23:08:39+0300 lvl=info msg="join connections" obj=join id=8198a1579780 l=127.0.0.1:3000 r=62.84.96.86:51132
t=2025-11-26T23:11:38+0300 lvl=info msg="join connections" obj=join id=1408a4c47085 l=127.0.0.1:3000 r=62.84.96.86:47370
t=2025-11-26T23:11:39+0300 lvl=info msg="join connections" obj=join id=1d4b200c9ea8 l=127.0.0.1:3000 r=62.84.96.86:56030
t=2025-11-26T23:11:40+0300 lvl=info msg="join connections" obj=join id=c5868a75d69b l=127.0.0.1:3000 r=62.84.96.86:56030
t=2025-11-26T23:11:40+0300 lvl=info msg="join connections" obj=join id=b2e7034fff54 l=127.0.0.1:3000 r=62.84.96.86:56038
t=2025-11-26T23:14:37+0300 lvl=info msg="join connections" obj=join id=e5ceea9b96ac l=127.0.0.1:3000 r=62.84.96.86:41706
t=2025-11-26T23:14:38+0300 lvl=info msg="join connections" obj=join id=b9774cfc4492 l=127.0.0.1:3000 r=62.84.96.86:41710
t=2025-11-26T23:14:38+0300 lvl=info msg="join connections" obj=join id=a1dd1677dad5 l=127.0.0.1:3000 r=62.84.96.86:41710
